ymbol	Name	AUM	Avg Volume
SPY	SPDR S&P 500 ETF	"$339,866,000.00"	"78,982,875"
IVV	iShares Core S&P 500 ETF	"$261,749,000.00"	"4,211,251"
VTI	Vanguard Total Stock Market ETF	"$224,731,000.00"	"4,447,282"
VOO	Vanguard S&P 500 ETF	"$205,382,000.00"	"3,893,166"
QQQ	Invesco QQQ	"$153,742,000.00"	"45,685,238"
VEA	Vanguard FTSE Developed Markets ETF	"$94,962,400.00"	"9,723,377"
IEFA	iShares Core MSCI EAFE ETF	"$87,779,700.00"	"8,998,787"
AGG	iShares Core U.S. Aggregate Bond ETF	"$84,503,400.00"	"6,248,876"
VWO	Vanguard FTSE Emerging Markets ETF	"$78,954,300.00"	"11,230,334"
IEMG	iShares Core MSCI Emerging Markets ETF	"$78,707,800.00"	"12,938,868"
IWM	iShares Russell 2000 ETF	"$74,180,000.00"	"29,617,980"
VTV	Vanguard Value ETF	"$72,509,500.00"	"3,144,798"
IJR	iShares Core S&P Small-Cap ETF	"$71,723,800.00"	"5,299,634"
BND	Vanguard Total Bond Market ETF	"$70,431,000.00"	"5,673,531"
VUG	Vanguard Growth ETF	"$69,897,800.00"	"927,556"
VIG	Vanguard Dividend Appreciation ETF	"$67,318,400.00"	"1,539,063"
IWF	iShares Russell 1000 Growth ETF	"$63,474,200.00"	"1,467,315"
IJH	iShares Core S&P Mid-Cap ETF	"$63,180,200.00"	"1,330,137"
GLD	SPDR Gold Trust	"$58,283,600.00"	"9,803,423"
EFA	iShares MSCI EAFE ETF	"$54,880,800.00"	"21,294,262"
IWD	iShares Russell 1000 Value ETF	"$50,359,000.00"	"2,818,060"
VO	Vanguard Mid-Cap Index ETF	"$49,687,000.00"	"714,777"
VB	Vanguard Small Cap ETF	"$47,255,100.00"	"881,336"
LQD	iShares iBoxx $ Investment Grade Corporate Bond ETF	"$44,387,400.00"	"15,206,887"
VXUS	Vanguard Total International Stock ETF	"$43,246,000.00"	"3,751,827"
VGT	Vanguard Information Technology ETF	"$42,330,300.00"	"594,171"
VCIT	Vanguard Intermediate-Term Corporate Bond ETF	"$42,213,200.00"	"3,981,787"
BNDX	Vanguard Total International Bond ETF	"$39,393,000.00"	"3,428,469"
XLK	Technology Select Sector SPDR Fund	"$38,757,400.00"	"8,588,240"
VCSH	Vanguard Short-Term Corporate Bond ETF	"$37,916,200.00"	"3,568,379"
XLF	Financial Select Sector SPDR Fund	"$37,902,100.00"	"61,228,629"
ITOT	iShares Core S&P Total U.S. Stock Market ETF	"$36,344,500.00"	"1,820,473"
VNQ	Vanguard Real Estate Index Fund	"$36,031,100.00"	"4,710,632"
VYM	Vanguard High Dividend Yield ETF	"$35,814,600.00"	"1,964,342"
VEU	Vanguard FTSE All-World ex-US ETF	"$32,786,700.00"	"3,147,802"
BSV	Vanguard Short-Term Bond ETF	"$31,718,200.00"	"2,528,744"
IVW	iShares S&P 500 Growth ETF	"$31,187,600.00"	"2,279,494"
EEM	iShares MSCI Emerging Markets ETF	"$29,455,100.00"	"43,624,535"
DIA	SPDR Dow Jones Industrial Average ETF	"$28,270,900.00"	"3,927,990"
USMV	iShares Edge MSCI Min Vol USA ETF	"$28,265,300.00"	"4,459,613"
IAU	iShares Gold Trust	"$28,031,700.00"	"22,895,646"
SCHX	Schwab U.S. Large-Cap ETF	"$27,795,600.00"	"900,985"
IWR	iShares Russell Midcap ETF	"$27,595,800.00"	"1,298,126"
IWB	iShares Russell 1000 ETF	"$27,361,500.00"	"695,324"
IXUS	iShares Core MSCI Total International Stock ETF	"$26,595,900.00"	"1,594,214"
MBB	iShares MBS Bond ETF	"$26,458,300.00"	"1,698,403"
TIP	iShares TIPS Bond ETF	"$25,792,800.00"	"2,943,460"
SCHD	Schwab US Dividend Equity ETF	"$25,637,300.00"	"2,032,777"
SCHF	Schwab International Equity ETF	"$25,313,800.00"	"2,866,300"
RSP	Invesco S&P 500? Equal Weight ETF	"$24,605,500.00"	"2,637,060"
ARKK	ARK Innovation ETF	"$24,579,700.00"	"11,379,148"
XLV	Health Care Select Sector SPDR Fund	"$24,385,000.00"	"8,863,850"
XLE	Energy Select Sector SPDR Fund	"$23,731,400.00"	"34,179,406"
VBR	Vanguard Small Cap Value ETF	"$23,599,200.00"	"677,077"
IGSB	iShares Short-Term Corporate Bond ETF	"$23,019,100.00"	"2,808,460"
HYG	iShares iBoxx $ High Yield Corporate Bond ETF	"$22,565,600.00"	"29,425,031"
VV	Vanguard Large Cap ETF	"$22,380,000.00"	"338,805"
IVE	iShares S&P 500 Value ETF	"$21,464,200.00"	"1,011,690"
MDY	SPDR S&P MidCap 400 ETF	"$21,330,700.00"	"879,926"
MUB	iShares National AMT-Free Muni Bond ETF	"$21,024,000.00"	"1,368,471"
QUAL	iShares Edge MSCI USA Quality Factor ETF	"$19,858,000.00"	"1,342,248"
XLY	Consumer Discretionary Select Sector SPDR Fund	"$19,730,200.00"	"4,090,221"
SHY	iShares 1-3 Year Treasury Bond ETF	"$19,721,800.00"	"2,902,537"
SCHB	Schwab U.S. Broad Market ETF	"$19,653,500.00"	"623,092"
VT	Vanguard Total World Stock ETF	"$19,527,500.00"	"1,994,681"
XLI	Industrial Select Sector SPDR Fund	"$19,269,900.00"	"12,207,752"
SDY	SPDR S&P Dividend ETF	"$18,542,400.00"	"683,547"
PFF	iShares Preferred and Income Securities ETF	"$18,202,200.00"	"6,091,702"
VXF	Vanguard Extended Market VIPERs ETF	"$17,825,600.00"	"664,876"
DVY	iShares Select Dividend ETF	"$17,470,100.00"	"787,663"
IWN	iShares Russell 2000 Value ETF	"$17,304,400.00"	"2,044,534"
VBK	Vanguard Small Cap Growth ETF	"$17,215,000.00"	"267,629"
DGRO	iShares Core Dividend Growth ETF	"$17,055,600.00"	"2,090,511"
EMB	iShares J.P. Morgan USD Emerging Markets Bond ETF	"$17,017,900.00"	"4,860,097"
JPST	JPMorgan Ultra-Short Income ETF	"$16,220,300.00"	"3,041,777"
SCHP	Schwab U.S. TIPS ETF	"$16,202,500.00"	"1,665,263"
SCHA	Schwab U.S. Small-Cap ETF	"$15,978,100.00"	"789,773"
SHV	iShares Short Treasury Bond ETF	"$15,971,600.00"	"2,037,600"
VGK	Vanguard FTSE Europe ETF	"$15,623,100.00"	"3,605,395"
ACWI	iShares MSCI ACWI ETF	"$15,489,600.00"	"3,785,255"
ESGU	iShares ESG MSCI USA ETF	"$15,324,100.00"	"1,029,350"
SLV	iShares Silver Trust	"$15,246,000.00"	"42,818,539"
IWP	iShares Russell Midcap Growth ETF	"$14,907,200.00"	"929,337"
TLT	iShares 20+ Year Treasury Bond ETF	"$14,888,500.00"	"13,615,644"
MINT	PIMCO Enhanced Short Maturity Strategy Fund	"$14,665,700.00"	"1,094,747"
MTUM	iShares Edge MSCI USA Momentum Factor ETF	"$14,456,600.00"	"1,433,734"
GDX	VanEck Vectors Gold Miners ETF	"$14,368,900.00"	"24,055,211"
GOVT	iShares U.S. Treasury Bond ETF	"$14,229,400.00"	"6,159,406"
BIV	Vanguard Intermediate-Term Bond ETF	"$14,218,100.00"	"1,483,523"
VLUE	iShares Edge MSCI USA Value Factor ETF	"$14,202,700.00"	"1,204,863"
VMBS	Vanguard Mortgage-Backed Securities ETF	"$13,902,800.00"	"1,397,198"
VHT	Vanguard Healthcare ETF	"$13,817,300.00"	"259,182"
IEF	iShares 7-10 Year Treasury Bond ETF	"$13,759,600.00"	"6,653,672"
XLC	Communication Services Select Sector SPDR Fund	"$13,690,400.00"	"4,139,314"
EWJ	iShares MSCI Japan ETF	"$13,521,000.00"	"6,853,676"
SCHG	Schwab U.S. Large-Cap Growth ETF	"$13,512,000.00"	"473,919"
SCZ	iShares MSCI EAFE Small-Cap ETF	"$13,442,100.00"	"1,799,732"
VOE	Vanguard Mid-Cap Value ETF	"$13,325,900.00"	"360,019"
IWS	iShares Russell Midcap Value ETF	"$13,241,600.00"	"656,289"
IWO	iShares Russell 2000 Growth ETF	"$12,776,400.00"	"648,182"
